NAME,LONGDD,LATDD
BARCHUMADIKA,38.25,1.58
BARCHUMAHAFARI,37.12,4.3
BARDING,34.32,0
BARDINGSUBLOCATION,34.25,-0.03
BARINGO,35.97,0.47
BARING LAKE,36.08,0.63
BARICHO,37.25,-0.55
BARICHO,37.23,-0.55
BARKALARE,34.52,0.03
BARKETIEUSUBLOCATION,35.88,0.8
BARKORWA,34.52,-0.07
BARKOWET,34.32,0.12
BARKOWINO,34.27,-0.12
BARKOWINO,34.27,-0.13
BARKOWINOSUBLOCATION,34.23,-0.13
BARKURUNYO,38.18,1.53
BARKURUNYO,38.12,1.4
BARLIGH,39.47,-0.2
BAROLENGO,34.2,0.07
BAROLENGO,34.2,0.02
BARSEMOI,35.9,0.55
BARSUBLOCATION,34.3,0.03
BARTOLIMO,35.82,0.68
BARTOLIMOSUBLOCATION,35.85,0.68
BARUKU,36.23,-0.27
BARWESA,35.68,0.72
BARWESA,35.73,0.72
BATA,41.23,-1.37
BATABONASUBLOCATION,34.07,0.02
BATANI,39.6,-3.9
BATANISUBLOCATION,39.6,-3.9
BATHI,36.63,-0.95
BATHI,36.77,-1.03
BATHISUBLOCATION,36.63,-0.97
BAUWA,36.08,1.03
BAUWA,37.03,3.07
BEDZOMBOSUBLOCATION,39.77,-3.7
BEGURO,39.62,-3.93
BEI EL,40.1,1.7
BEKAYI,34.2,0.5
BELASOCANAL,40.37,-2.52
BELEWA,39.63,-3.95
BEMBIATSUBLOCATION,35.35,-0.95
BEN EL,40.2,2.32
BENA,40.05,0.7
BENANEKOTKOT,40.53,0.6
BENDDONGA,36.93,-1.42
BENDERANISECTION,40.02,-2.12
BENGONI,39.43,-3.63
BENHARDESTATE,36.77,-1.27
BENYAGUNDO,39.57,-3.95
BERAM,39.48,2.9
BERBERBAHAR,40.22,1.52
BEREITOWASANIA,39.15,-2.98
BERGUDUD,40.87,1.38
BERHAWAMADI,41.58,3.57
BERIBEIDAM,35.23,-0.8
BERO,39.63,2.93
BES EL,36.93,3.48
BIAZI,36.42,-0.58
BIBERIONISUBLOCATION,36.62,-1.08
BICHE,39.45,3.02
BICHE,39.3,3.32
BIHIRIISLAND,34.03,-0.73
BILBIL,39.82,-1.05
BILBIL,39.87,-1.05
BILBIL,39.8,-1.03
BILEL WEL,40.12,1.23
BILELBURBUR,40.08,1.32
BILESHAPLAIN,40.75,0.58
BILGIS,38.82,0.42
BILI,39.7,-0.6
BILIFTU,39.75,-0.38
BILIFTU,39.73,-0.38
BILIKI,38.7,1.93
BILISA LAKE,40.13,-2.23
BIRABIRA,39.8,-1.68
BIRHEMBE,34.08,0.13
BIRINI,39.6,-3.72
BIRINISUBLOCATION,39.62,-3.78
BIRCAN,40.08,3.95
BIRTE,39.8,3.22
BISANADI,38.57,-0.02
BISANBALA,39.47,-2.75
BISIKA,39.82,0.93
BISOI,35.87,-0.12
BIYADI,40.22,-2.35
BEGARUTH,39.97,-0.9
BLACKCRAGS,36.72,-0.62
BLACKSCYTHEFARMS,35.93,-0.08
BASSI,34.8,-0.08
BOBWAINI,39.92,-1.07
BODE EL,40.28,3.92
BODI,34.93,-0.37
BODISH,40.55,-1.08
BODJI,40.65,-1.08
BOFU RAS,39.65,-4.07
BOGAL LAGH,40.08,0.75
BOGIRANGOROGOROLOCATION,35.95,-0.55
BOGITAA,34.07,-0.63
BOGOLA,39.37,-3.53
BOHONI,40.07,-1.37
BOITO,35.3,-0.7
BOITO,35.23,-0.6
BOITOSUBLOCATION,35.28,-0.7
BAJI,40.18,2.9
BOJIPLAIN,39.75,1.05
BOKALTA,39.13,-1.95
BOKHOLPLAIN,39.4,2.73
BOKINI,39.62,-3.93
BOKOK,36.18,0.13
BOKOLA,41.08,3.92
BOLE,39.7,-0.55
BOLLO,36.97,4.08
BOMA,36.93,-1.42
BOMANI,39.75,-3.87
BOMANISUBLOCATION,39.75,-3.87
BOMAROAD,36.77,-1.02
BOMET,35.35,-0.78
BON GOD,34.52,-0.52
BONDENILOCATION,36.08,-0.3
BONDO,34.27,-0.1
BONDO,34.27,0.23
BONDO,34.62,-0.53
BONDO GOD,34.32,-0.72
BONDOKOSIEMO,34.2,-0.82
BONDONI,38.98,-0.97
BONDONYARONGE,34.4,-1.1
BONGOLE BALESA,37.93,2.22
BANGOLI GOFA,37.93,2.22
BONGONOKO,39.8,-0.77
BONJOGE,34.08,-0.02
BONYAKANGA,34.45,-0.57
BONYAMATUTA,35.45,-0.63
BOR LAK,40.07,1.3
BORA,38.88,0.07
BORAGA,40.53,2.12
BORALGI,39.73,-0.52
BORAMBOR,39.7,3.12
BORANGI,34.87,-0.08
BORANSIS,39.8,0.3
BORDERSUBLOCATION,35.05,-0.2
BORO,34.23,0.08
BORO GOF,37.8,2.63
BOROLE,38.63,3.55
BORONFARM,35.6,-0.4
BORTA,40.72,-1.37
BORUIDO EL,39.38,2.57
BOSAMAROEAST,35.02,-0.07
BOSEISUBLOCATION,35.75,0.68
BOSGOBO,37.05,3.38
BOSTA,35.38,-0.62
BOTABORI,35.38,-0.7
BOYO,37.1,-0.7
BRAEMARESTATE,36.95,-1.32
BRACKENSAWMILL,35.98,-0.6
BRIDGEISLANDS,34.12,-0.35
BRIMOK,35.85,0.37
BROADACRESFARM,36.37,-0.87
BUA,38.93,2.78
BUBESA,40.02,-2.05
BUBI KUBI,39.32,3.05
BUBISA,38.08,2.75
BUBISA LAGA,38.08,2.77
BUCHANANROCK,39.65,-4.07
BUDDE,39.95,2.08
BUDEBU,34.03,0.15
BUDOKOMI,34.13,0.4
BUDUMA,34.37,0.37
BUEPLAIN,34.02,-0.73
BUGENGISUBLOCATION,34.15,0.03
BUGICHI,36.72,-1.25
BUGONDASUBLOCATION,34.07,0.07
BUGRA,34.85,-0.32
BUITE,40.55,3.15
BUJUMBA,34.22,0.32
BUJUMBASUBLOCATION,34.2,0.32
BUJWANE,34.03,0.12
BUJWANGA,34.02,0.22
BUJWANGASUBLOCATION,34.02,0.2
BUKANGALAASUBLOCATION,34.12,0.03
BUKANGALABSUBLOCATION,34.1,0.32
BUKANGASI,34.03,0.08
BUKHALALIRE,34.27,0.32
BUKHALALIREBUKHUMASUBLOCATION,34.25,0.32
BUKHAYO,34.23,0.45
BUKAYO,34.25,0.47
BUKHAYOSUBLOCATION,34.25,0.05
BUKHOBA,34.08,0.12
BUKHUMA,34.3,0.32
BUKHUMASUBLOCATION,34.28,0.32
BUKIRI,34.08,0.22
BUKOMA,33.95,0.07
BUKOMASUBLOCATION,33.95,0.08
BUKULAPOINT,34.12,-0.53
BULBUL,36.68,-1.03
BULBULA,39.28,-2.72
BULBULSUBLOCATION,36.68,-1.03
BULE,38.12,1.73
BULE,38.08,1.7
BULEABAKHOR,38.88,2.8
BULEBARICHA,38.95,2.62
BULEBODA,39.02,2.88
BULEBURGABO,38.02,3.02
BULEDAKALA,39.07,2.03
BULEDAUFAT,38.82,3.18
BULEDERA,38.73,3.25
BULEDERAPLAIN,38.7,3.27
BULEDIDA,38.65,3.25
BULEDIKO,39.05,3.23
BULEDOKOLE,38.88,2.78
BULEGALLAADANO,38.03,2.87
BULEGUDA,39.03,3.22
BLUEHAWALA,38.3,3.12
BULEJALDESS,39.13,3.07
BULEKALO,38.98,2.87
BULEKHALO,38.08,2.53
BULEKORONYANYO,38.32,2.77
BULEMIA,34.32,0.12
BULEMIASUBLOCATION,34.02,0.13
BULEMUME,39.12,2.28
BULESABOR,39.07,2.4
BULESABOR,38.58,3.1
BULESIWANA,38.82,3.27
BULEWACHO,39.03,2.88
BULEWANGAGA,39.07,2.87
BULTIJALDESA,37.23,4.1
BULTOMORI,40.22,1.72
BULUK,36.68,4.2
BULUNGO,34.1,0.02
BULWANI,34.32,0.37
BULWANI,34,0
BOMALA,34.18,0.3
BUMALA,34.35,0.38
BUMALADAM,34.35,0.38
BUMALASUBLOCATION,34.2,0.28
BUMAYENGA,34.02,0.22
BUMBOSUBLOCATION,34.08,0.22
BUMBURIBEACH,39.73,-3.98
BUMUDIRU,34.27,0.37
BUMUDONDO,34.03,0.07
BUNA,39.52,2.78
BUNABA,33.97,0.07
BUNGASIASUBLOCATION,34.38,0.2
BUNISUBLOCATION,39.57,-3.95
BUNPLAINS,40.7,0.73
BUNYALA,33.97,0.1
BUNYALALOCATION,34.03,0.07
BUOYE,34.8,-0.13
BUOYE,34.75,-0.53
BUOYESUBLOCATION,34.8,-0.15
BURA,39.95,-1.1
BURAELA,40.7,2.78
BURAGALADI,36.08,3.28
BURAGUNSA LAK,39.1,-0.07
BURAROT,37.92,3.52
BURBEIT,39.87,2.47
BURBURO LAGA,38.62,3.12
BURCHILIN,39.9,2.07
BURCHUMA,39.07,2.8
BURDILE,39.4,3.28
BURENDE,34.18,0.32
BURENDWA,34.07,0.2
BURFULA,40.95,1.2
BURGI,36.38,3.75
BURGIA,40.2,-0.02
BURI,40.22,3.23
BURINDA,34.22,0.3
BURJI,39.07,3.52
BURKHA,37.42,3.1
BURMAIYOKONDI,40.27,3.02
BURMAYO,40.27,2.98
BURRO,37.07,2.07
BERTIFINNO,41.45,3.37
BURUDAAR HARA,40.18,2.85
BURUDI LAGA,40.73,4.2
BURUSUSWA,36.02,0.95
BUSA,40.23,-1.37
BUSHO,39.72,-3.92
BUSIA,34.1,0.47
BUSIADA,34.27,0.3
BUSIADISTRICT,34.25,0.42
BUSIAHILLS,34.02,0.15
BUSIBWABOSUBLOCATION,34.25,0.43
BUSIKE,33.98,0.02
BUTA,40.97,2.42
BUTA,37.07,3.22
BUTEBA,34.13,0.53
BUTEHELU,39.08,2.82
BUTEHELU,39.85,2.08
BUTEI,39.77,2.7
BUTENDELOCATION,34.05,-1.02
BUTEROCHA,39.2,-2.25
BUTULA,34.33,0.33
BUYINGI,34.05,0.3
BUYOFU,34.38,0.48
BUYOFU,34.37,0.05
BUYOFUSUBLOCATION,34.37,0.05
BWAGAMOYO,39.63,-3.95
BWALIRO,34.32,0.37
BWANDASUBLOCATION,34.85,-0.25
BWARE,34.82,-0.48
BYNG,36.18,-0.4
