NAME,LONGDD,LATDD
GITHUNGURISUBLOCATION,36.75,-1.05
GITHURE,37.42,-0.45
GITHURI,37.2,-0.72
GITIGE,37.03,-0.73
GITIHA,36.7,-1.07
GITILIGINIESTATE,36.6,-1.07
GITINDO,36.73,-1.05
GITINDOI,36.73,-1.03
GITITHIA,36.62,-1.05
GITITHIA,36.7,-1.07
GITITHIASUBLOCATION,36.62,-1.07
GITITU,36.82,-1.03
GITUAMBA,36.23,0.03
GITUAMBA,37.02,-0.77
GITUAMBA,36.75,-1.08
GITUAMBAAGRICULTUREEXPERIMENTALFARM,36.85,-0.75
GITOBA,37.38,-0.47
GITUGE,37.02,-0.65
GITUGISUBLOCATION,37.02,-0.65
GITUGU,36.93,-0.68
GITUI,37.05,-0.73
GITUMBI,37.27,-0.45
GETURI,37.43,-0.48
GITURU,36.85,-0.8
GITURUESTATE,36.8,-1.2
GITUTO,37.02,-0.72
GITUTO,37.02,-0.73
GIITWA,37.68,-0.43
GITWAMBA,36.7,-0.98
GITWARA,37.48,-0.4
GITWEKU,36.97,-0.7
GLENLEEDLE,36.52,-0.7
GOATISLAND,36.4,-0.78
GOBA,39.45,3.15
COBEI,34.32,-0.1
GODAHALOVALLEY,39.12,3.52
GODANABIO,40.2,-2.63
GODBIM,34.2,-0.78
GODBURA,34.08,-0.72
GODE,39.12,3.32
GODOLOO,34.1,-0.78
GODOMA,39.3,3.05
GODOMADIDIKO,39.27,3.45
GODONOODO,39.55,3.37
GODRABUOR,34.47,-0.52
GODSIBUOCHE,34.37,-0.98
GOGO,34.18,-0.78
GOGO,34.03,-0.92
GOGOFALLS,34.35,-0.9
GOIBEI,34.08,0.05
GOIBEY,34.08,0.05
GOISOI,35.78,0.58
GOL,39.58,-0.65
GOLA,39.27,3.12
GOLAN,37.03,3.08
GOLANAGOF,39.38,0.77
BOROBINI,40.2,-2.45
GOLINACHA,37.7,3.27
GOLJA,40.12,3.88
GOLO,39.62,-3.93
GOLOLBI,40.87,3.25
GOLOLE,37.87,2.27
GOLOLE,38.55,3.58
GOMBESUBLOCATION,34.05,0.27
GOMBIS HARA,39.8,0.87
GOMBO,38.07,2.23
GOMBOLA,39.8,3.08
GONGO,34.48,0.08
GONGONI,39.82,-3.73
GONGONISUBLOCATION,39.77,-3.82
GONGOSUBLOCATION,34.48,0.07
GOOBUT,38.87,0.48
GOOCHI,38.9,2.47
GORADUDIPLAIN,39.9,2.12
GORASU,39.58,-0.45
GORGOR,35.08,-0.9
GORGOR,35.07,-0.9
GORGORSUBLOCATION,35.08,-0.9
GORIALO,39.1,0.25
GORIMARIA,34.32,-1.02
GOROBA,35.65,-0.63
GOROWAITCHU,37.3,4.18
GORUFFA WELLSOF,38.82,0.03
GORYA,34.15,0.57
GOSE,39.98,2.57
GOSHI,39.42,-3.45
GOTANI,39.53,-3.78
GOTBIM,34.22,-0.78
GOTBONDE,34.52,-0.05
GOTJOPE,34.53,-1.05
GOTKOJOWI,34.27,-0.77
GOTKOKECH,34.48,-0.52
GOTKOKWIRI,34.45,0.13
GOTKOPOLO,34.2,-0.15
GOTKWERE,34.32,-1.05
GOTNYANGO,34.73,-0.45
GOTASIMBO,34.32,0.18
GOTRATENG,34.88,-0.43
GOTUNYENCHA,37.82,2.02
GOTUNYENCHA,37.82,2.15
GOYMONANGERUINS,36.12,0.55
GOYO,34.37,-0.6
GRANVILLEESTATE,37.05,-1.27
GRASSLANDRESEARCHSTATION,35.65,-0.35
GREATOROBA,35.65,-0.07
GREENISLAND,33.95,0.1
GU,34.97,-0.37
GUBA,41.08,-1.45
GUBABARBARESA,38.07,3.03
GUBABTUTUCHIRATE,39.03,2.73
GUBAHEREBA,38.65,3.28
GUBAIDU,40.13,-1.65
GUBANI,40.12,-1.72
GUBATU,39.63,-0.55
GUBATU LAGA,39.65,-0.53
GUBATU LAGA,39.68,-0.57
GUCHA,34.57,-0.8
GUCHA,34.13,-0.93
GUDABATU,39.48,3.08
GUDAS,38.13,2.08
GUDAS,38.08,1.98
GUDHAGARSODIMALE,40.58,3.12
GUDUDIYU,41.58,3.92
GUE,37.97,1.48
GUGUFTA,39.32,-2.1
GULAL WEL,40.3,1.62
GULEDDAE,40.75,1.47
GULLSHOAL,34.3,-0.42
GULMARGESTATE,36.87,-1.15
GUMAJERIN,40.03,0.75
GUMBA,34.12,-0.42
GUNA,38.82,3.45
GUNG,34.12,-0.8
GUNGA,34.12,-0.8
GUNGA,34.63,-0.68
GUNGA,34.12,-0.82
GUNIWAKHORA,39.42,3.02
GURAR,39.57,3.37
GURAT,40.07,1.22
GURE LAGA,39.08,3.52
GUREKERIBAY,34.12,-0.98
GURGALA,40.08,-1.03
GURIS,40.35,3.92
GURKU,39.6,3.03
GURUGURU,39.45,-3.7
GURUJU,39.42,-3.38
GURUMESA LAGA,39.08,3.05
GURUSUMES,38.65,-0.05
GUS,36.85,3.07
GUANO,40.05,-1.08
GWASIHILLS,34.15,-0.62
GWASILOCATION,34.1,-0.7
HABALAKESDUBISWATERHOLE,39.87,-2.02
HABASWEIN,39.48,1.02
HABITRE,34.45,0.08
HABUL,40.92,-0.52
HACHINI LAGH,40.07,3.93
HAD EL,37.58,3.95
HADADOGOF,40.03,3.02
HADDO,39.02,-1.92
HADU,36.37,3.42
HADUHILLS,36.53,3.02
HAFARIDIMA,37.08,4.35
HAFAROTO HARAR,39.95,3.62
HAGADERA,40.37,0.02
HAGARDULAN,40.38,2.62
HAGARI,39.13,0.53
HAGARJIRIR,38.8,0.35
HAGARSO,40.02,-0.75
HAGARSU,41.78,3.87
HAIHOWAL,40.38,4.03
HAIYA,38.07,2.45
HAIYA,38.08,2.47
HALAKEHALO,39.03,3.47
HALAKEHALO,39.03,3.48
HALANGO,41.1,3.08
HALANGOGOF,41.08,3.07
ALATI LAKE,40.43,0.57
HALATI,39.62,2.48
HALIMA,39.82,2.85
HALISIRUWA,37.55,2.85
HALISIRUWA,37.53,2.07
HALOBADILE,40.37,3.55
HALODIKE,39.3,3.13
HALOGUDA,39.03,3.2
HALOLIOGORCHI,39.45,3.28
HALUABAGALA,39.07,-2.85
HAMADIKIKO,40.08,-2.22
HAMARAIS,39.6,-0.65
HAMARAIS,39.78,-0.07
HAMBALASH,40.87,1.35
HAMEYE,39.02,-0.07
HAMEYI,40.2,4.02
HAMUR WAR,41.55,3.7
HANDADU,41.82,3.92
HANDAKIWELADE,40.93,1.68
HANDAMPIA,40.07,-1.58
HANDARAKO,39.35,-1.78
HANDARI,40.07,-1.47
HANJALE GAR,37.85,2.27
ANJALE GOFA,37.08,2.28
HAR LAGA,39.6,1.07
HARA,39.58,-0.42
HARA BUR,40.7,2.58
HARA BUR,40.73,2.72
HARAADE,40.85,1.03
HARABAWR,39.1,3.52
HARABUITE,40.55,3.18
HARADAUA,40.42,4.08
HARADIMA,40.9,-0.68
HARADO,39.15,3.2
HARAHURILE,40.27,4.05
HARALE,39.62,0.13
HARALE,39.6,0.13
HARAMANSA,41.03,3.25
HARAMBEE,36.87,-1.28
HAMARIS,39.37,-0.58
HARARO KUBI,39.87,3.53
HARDY,36.73,-1.37
HAREBA,39.12,3.05
HAREFIELDFARM,36.58,-1.05
HARERE,40.6,-1.12
HARERIT,37.35,3.02
HARGAGABA,38.22,2.6
HARIDFI,40.82,-0.58
HARIDFI,40.08,-0.6
HARIR,39.97,3.07
HARIR EL,39.97,3.07
HARKISA,40.12,-2.03
HARNUWAYNU,40.87,0.38
HARO LAGH,40.97,2.07
HAROMBOBE,34.73,-0.12
HARURU,40.18,-1.32
HARVEYHILL,36.7,-1.23
HARVEYSSTREAM,35.73,-0.32
HASANA,39.82,-0.43
HATATESA,40.9,-0.72
HATFIELD,36.18,-0.27
HAWACHOSAMBUR,40.13,3.07
HAWACHOSHARAN,39.02,3.07
HAWALBEN,40.05,1.6
HAWALBEN,39.9,2.52
HAWALBUNA,40.87,2.73
HAWALJARSO,39.88,3.7
HAWALWELMERED,40.95,1.25
HEDAD,37.28,2.37
HEDAYAFARM,35.92,-0.15
HEDIDA,38.2,3.47
HEILU,39.03,3.48
HELDIJOR,39.45,-0.18
HEMANI,40.23,-2.48
HEMBE,36.08,-0.62
HERMANI,39.3,-0.93
HEWANI,40.02,-2.23
HIDDENTARN,37.32,-0.18
HIDILATHIWELLS,38.68,-2.42
HIGHRIDGE,36.8,-1.25
HIGHRIGGROAD,35.97,-0.05
HIGLET,40.32,-1.07
HILLCRESTDAIRY,36.63,-1.15
HIPPOPOINT,36.3,-0.8
HIPPOPOOL,36.9,-1.42
HIRAMAN,39.08,-1.15
HIRAMAN,39.92,-1.12
HIRBAI,39.22,-0.1
HOGA,38.7,3.35
HOGICHU,37.92,2.32
HOGICHU,37.08,2.35
HOGO,34.45,-0.6
HOI,37.08,3.58
GALOLE,40.03,-1.48
HOLALI LAGA,39.05,3.52
HOLEBALANGA,39.03,3.15
HOLEDADACHA,39.35,3.02
HOLOBWANDAROAD,34.58,-0.05
HOMA,34.05,-0.38
HOMABAY,34.45,-0.47
HOMA,34.45,-0.52
HOMALIME,34.47,-0.42
HOMALIMEKOWUOR,34.47,-0.43
HOMAPOINT,34.47,-0.35
HOMBA,34.35,0.12
HONEYMOONHILL,36.07,-0.32
HONGWEISLAND,34.12,-0.98
HONO,34.32,0.1
HORRADE,39.03,-0.98
HOTHORIDESERT,39.58,1.65
HUGUINIROAD,36.08,-0.48
HUKUI,38.78,0.22
HULO,40.8,4.18
HULRO,34.15,0.1
HULU,34.13,-0.72
HULUGHO,41.07,-1.15
HURI,37.85,3.68
HUR,37.78,3.05
HURILE,40.32,4.03
HURRANHURRA,36.73,3.38
HUTROR,34.25,0.07
HYAENADAM,36.82,-1.03
HYANZA,34.28,0.13
HYPAXCORNER,36.43,-0.85
HYRAXVALLEY,36.8,-1.38
IBONIAESTATE,36.82,-1.18
IBRAHIMSHARIWAA,40.18,1.35
IBRAHIMURI,40.62,1.6
IBRAHIMURI,40.62,1.62
ICHAGAKI,37.07,-0.82
ICHAGAK,37.08,-0.82
ICHAGAKISUBLOCATION,37.1,-0.8
ICHICHI,36.85,-0.7
IDI,39.07,-2.27
IDOKHO,34.07,0.05
IDSOWE,40.12,-2.3
IDSOWE,40.12,-2.28
IDSOWE ZIWALA,40.12,-2.3
EGAKERAMA,37.73,-0.25
IGAMBANGOMBE,37.82,-0.4
IGANJOSUBLOCATION,37.18,-0.8
IGARA,34.37,0.53
IGIKIRO,37.18,-0.82
IGOMA,34.82,-0.08
IGUAMETI,36.23,0.15
IGWANJAU,37.7,-0.23
IHIGAINI,36.98,-0.68
GIHIGAINI,37.08,-0.78
IHINGA,37.08,-0.77
HITHEROAD,36.08,-0.47
IHUMBU,37.05,-0.78
IJARA,40.52,-1.57
IJARA,40.52,-1.6
IKAKINDU,36.78,-1.13
IKANGA,39.48,-3.72
IKANGASUBLOCATION,39.48,-3.72
IKENYE,34.87,-0.08
IKINU,36.78,-1.1
IKINU,36.8,-1.1
IKINUSUBLOCATION,36.78,-1.1
IKOMEROSUBLOCATION,34.05,0.13
IKOMOADAM,38.05,-0.07
IKONGE,34.08,-0.07
IKORO,34.1,-0.72
IKUMBI,36.9,-0.78
IKUMBI,36.88,-0.78
IKUMBO,37.73,-0.27
IKUNDU,37.15,-0.77
IKURIA,36.82,-1.08
IKUU,37.65,-0.37
ILADU,39.15,3.37
ILAUT,37.25,1.87
ILELIDIKA,40.68,3.25
ILELIGUDA,40.73,3.22
ILEMBAISLAND,33.92,-0.57
ILEREK,36.22,4.32
ILGIMIRR,36.27,4.18
ILIM,37.63,1.82
ILKARIA GAR,37.9,2.22
ILKEEKONYOKIE,36.38,-1.02
ILKEEKONYUKIESECTION,36.52,-1.02
ILKEK,36.37,-0.6
ILKIRAPUK,36.93,2.13
ILKIRIMISHO,35.95,-0.07
ILMANYALI,40.25,0.65
ILMATHIMA,39.57,-1.35
ILMPUSILEMPARA,37.57,1.43
IMBO,34.53,-0.6
IMENBET,36.18,0.85
IMPALAPOINT,36.8,-1.35
INDANGALASIASUBLOCATION,34.38,0.3
INGELI,34.07,-0.07
INGILE,39.82,-1.6
INGILEWATERHOLE,39.78,-1.58
INGRIR,39.43,2.68
INJERIAN,35.37,-0.75
INJERIAN,35.47,-0.85
INKIPIKONISUBSECTION,36.62,-1.03
INOILOCATION,37.3,-0.55
IRANA,34.3,0.25
IRANGATAABACHULA,39.52,-0.58
IRANGI,39.48,-0.35
IRATI,36.77,-0.72
IRBUS,38.27,2.68
IREGI,37.1,-0.77
IREMBU,37.08,-0.8
IRIAMURAI,37.07,-0.72
EREGA,37.62,-0.27
IIRIGASUBLOCATION,37.62,-0.27
IRIGU,37.73,-0.4
IRIGUINI,36.97,-0.8
IRRA KUBI,38.98,3.45
ERUMA,37.68,-0.22
IRUMA,34.72,-0.07
IRURI,37.03,-0.6
ISGOIS,39.08,-0.27
ISHIARA,37.78,-0.45
ISINGASUBLOCATION,37.03,-1.28
ISIRKON,36.13,-0.03
ISKUFOUT,40.28,-1.7
ISLANDFARM,36.03,-0.43
ISOGI,35.08,-0.78
ISSA,35.82,0.72
ITABUASUBLOCATION,37.48,-0.55
ITAGA,37.03,-0.8
ITAILALE,40.25,3.12
ITAN,38.88,0.4
ITARE,35.27,-0.58
ITEMBEAFRICANSETTLEMENTSCHEME,35.3,-0.78
ITHANGA,37.18,-0.53
ITHANJI,36.85,-1.1
ITHANJI,36.73,-1.02
ISEMWEGI,37.05,-0.6
ITHERU,37.12,-0.8
IDHERUI,37.02,-0.8
IDHIMA,37.47,-0.72
ITHURU,36.87,-1.15
ITIBO,34.7,-0.07
ITIBO,35.42,-0.87
ITTIRRPLAIN,38.65,3.02
ITUANDUA,38.02,-0.07
ITUGURURU,37.72,-0.42
ITUMBINI,38.63,-0.08
IYEGO,37.03,-0.68
IYEGOIHIGA,37.02,-0.68
IYOLE,37.62,3.07
IZAAKWALTONINN,37.45,-0.52
JABAN,35.78,0.6
JABI BUR,40.93,2.35
JAHAN,40.12,2.2
JAHAN ARBA,38.98,2.07
JAIROS,34.3,0.07
JAJABA LAGA,39.8,-0.7
JALDESA,38.37,2.1
JALDESA LAGA,38.42,2.08
JALENY,34.45,-0.98
JAMBELE,39.92,-1.03
JAMHURIPARK,36.77,-1.3
JARA,39.9,-0.9
JARA,39.65,3.02
JARA,40.03,3.93
JARA,39.03,-1.93
JARA LAGA,39.07,3.27
JARA WEL,40.97,-0.03
JARABUNI,39.73,-3.63
JARAJILA,40.92,-0.03
JARBA,40.92,1.98
JARIGOLE,36.25,3.6
JARIHILLS,40.92,3.27
JARSAGUDA,40.05,-1.8
JARSE EL,40.78,2.23
JARTIGUDA,39.48,3.03
JARTIGUDA LAGA,39.45,3.03
JELANGOR,39.32,0.55
JELU FAF,39.08,-0.08
JERA,34.25,0.28
JERICHO FORT,36.07,-0.57
JEURI,39.78,-3.87
JEURE,39.78,-3.87
GIBISA GEBEL,37.05,4.23
JIBOTA,38.82,3.42
JILA,39.53,-3.42
JILA,39.45,-3.68
JILA HARA,40.9,-0.62
JILANGO,39.22,0.53
JILBA,39.02,-1.92
JILO HARA,39.05,3.4
JIMBA,39.55,-3.9
JIMBASUBLOCATION,39.55,-3.88
JIMO,34.95,-0.28
JINA,34.53,0.08
JINASUBLOCATION,34.53,0.07
JIRAA,39.93,-1.07
JIRIMEGUBATA,40.18,3.55
JIRIMI GAR,37.97,2.35
JIRMAGARSE,40.08,2.57
JIROLE,40.92,-0.42
JIROLE,40.18,-1.95
JIRTOI,40.58,1.68
JOMOKENYATTAAIRPORTNAIROBI,36.93,-1.32
JOMVU,39.62,-3.98
JONYO,34.47,-0.37
JOPE GOD,34.32,-0.57
JOSEPHS,34.57,-0.62
JUJULIET,35.1,-0.73
JULANHILLS,41.03,3.47
JUNJU,39.75,-3.85
JUNJU,39.73,-3.85
JUNJU,39.73,-3.87
JUNJULOCATION,39.75,-3.87
KAANJA,36.92,-0.78
KABAELSUBLOCATION,35.65,0.6
KABANINI,39.62,-3.62
KABARAINASUBLOCATION,35.95,0.68
KABARAKFOREST,35.82,0.38
KABARAKRANGE,35.82,0.38
KABARAKSUBLOCATION,35.78,0.37
KABAE,37.32,-0.52
KABARESUBLOCATION,37.38,-0.43
KABARICHAN,35.93,0.48
KABARISUBLOCATION,37.23,-0.43
KABARKEBOSUBLOCATION,35.82,0.72
ABARIMELL,36.23,0.77
KABARNETLOCATION,35.72,0.48
KABARTONJO,35.8,0.63
KABARUSO,35.43,-0.82
KABARUSO,35.45,-0.82
KABASISUBLOCATION,35.82,0.43
KABATENI,39.85,-3.32
KABATERESAWMILLS,35.98,-0.53
KABAZIESTATE,36.02,-0.08
KABECE,37.62,-0.22
KABELAKHUMSO,38.75,3.2
KABENDO,34.47,0.08
KABETE,38.08,-0.08
KABETE,36.72,-1.27
KABETE,34.97,-0.38
KABETE,36.73,-1.23
KABETE,36.73,-1.25
KABETELOCATION,36.75,-1.23
KABETESUBLOCATION,36.72,-1.23
KABIANGEK,35.2,-0.58
KABIEMITSUBLOCATION,35.72,0.42
KABIENI,39.58,-3.88
KABIMOI,35.82,0.48
KABINGA,37.25,-0.53
KABINGASHI,37.47,-0.52
KABISAKA,35.23,-1.02
KABKURES,35.13,-0.75
KABLUK,35.65,0.57
KABO,40.22,3.27
KABOBI,39.32,-0.1
KABOBI,39.28,-0.13
KABOCHU,36.68,-1.18
KABODHO,34.93,-0.3
KABODHOEASTSUBLOCATION,34.95,-0.3
KABODHOWESTSUBLOCATION,34.87,-0.3
KABOK,34.65,-0.45
KABOKO,37.03,-0.7
KABOLA,34.53,-0.08
KABONDO,34.88,-0.45
AWACH,34.77,-0.43
KABONDOLOCATION,34.87,-0.45
KABONYOSUBLOCATION,34.37,-0.68
KABORT,40.27,2.07
KABOSKEILOCATION,35.75,0.75
KABOSO,36.02,-0.53
KABOSON,35.27,-1.02
KABOSONSUBLOCATION,35.25,-1.02
KABOSWA,35.05,-0.88
KABREREN,35.87,0.38
KABRIOK,36.02,0.47
KABROBE,35.77,0.3
KABUBONI,37.65,-0.37
KABUGA,37.32,-0.55
KABUI,37.72,-0.25
KABUI,37.07,-0.65
KABUNGUT,35.32,-0.73
KABURASUBLOCATION,34.13,0.13
KABURI,34.22,0.6
KABUSASUBLOCATION,35.95,0.58
KABUTI,35.7,0.6
KABUTI,37.32,-0.43
KACHACHA,40.97,3.7
KACHAROBAESTATE,36.77,-1.12
KACHEROTWO,36.28,0.73
KACHIENG,34.78,-0.48
KACHIENGSUBLOCATION,34.77,-0.48
KACHIENGSUBLOCATION,34.43,-0.73
KACHIMBA,37.22,-0.43
KACHIUNDUTHI,37.65,-0.27
KACHOLA GOD,34.13,-0.97
KACHOLASUBLOCATION,34.42,-0.65
KACHORORONIDAM,39.63,-3.68
KACHU,36.82,-1.03
KACHUKUSUBLOCATION,34.22,-0.87
KADAKHSA,40.07,0.27
KADEM,34.03,-0.95
KADEMPOINT,34.13,-0.92
KADENGE,34.18,0.02
KADERASUBLOCATION,34.78,-0.02
KADERASUBLOCATION,34.47,-0.07
KADERASUBLOCATION,34.55,-0.75
KADHIAMBOSUBLOCATION,34.82,-0.25
KADIANGA,34.78,-0.3
KADIANGA,34.92,-0.35
KADIANGASUBLOCATION,35.92,-0.38
KADIKA,34.48,-1.08
KADIKASUBLOCATION,34.48,-1.08
KADIMU,34.15,-0.07
KADIMBAY,34.1,-0.1
KADONGOSUBLOCATION,34.6,-0.08
KADUNGONISUBLOCATION,39.72,-3.32
KADZEWENI,39.48,-3.65
KADZEWENI,39.47,-3.73
KADZINUNI,39.82,-3.75
KADZONGOSUBLOCATION,39.53,-3.87
KAENA,37.52,-0.37
KAERITABAKEN,38.92,0.05
KAFKIGUN,34.1,-0.57
KAFULANISUBLOCATION,39.55,-3.78
KAGAA,36.97,-0.75
KAGAA,36.7,-1.03
KAGAA,36.72,-1.05
KAGAARE,37.57,-0.43
KAGAARI,37.58,-0.45
KAGAARELOCATION,37.57,-0.45
KAGAARISUBLOCATION,37.4,-0.45
KAGAASUBLOCATION,36.72,-1.03
KAGAGA,34.4,-0.08
KAGAN,34.53,-0.05
KAGANDA,36.95,-0.75
KAGANDASUBLOCATION,34.35,-0.75
KAGANDASUBLOCATION,36.95,-0.75
KAGAWET,35.32,-0.82
KAGIAFARM,36.65,-1.02
KAGILO,34.45,0.07
KAGILOSUBLOCATION,34.45,0.05
KAGIMA,36.98,-0.62
KAGIMACOFFEENURSERY,36.98,-0.62
KAGIO,37.25,-0.62
KAGIOINISUBLOCATION,37.2,-0.53
KAGOLASUBLOCATION,34.32,-0.73
KAGONDO,36.7,-1.27
KAGUMO,37.07,-0.75
KAGUMO,37.23,-0.47
KAGUMO,37.63,-0.37
KAGUMO,37.63,-0.47
KAGUMOINI,36.98,-0.62
KAGUMOROAD,36.08,-0.05
KAGUNDU,38.08,-0.03
KAGONDU,36.87,-0.77
KAGUNYANGSUBLOCATION,35.92,1.27
KAGURIASUBLOCATION,34.45,-0.08
KAGWASUBLOCATION,34.25,-0.25
KAGWE,36.75,-1.02
KAGWE,36.73,-1.02
KAGWELOCATION,36.7,-0.98
KAGWESUBLOCATION,36.75,-1.02
KAGWONGO,36.73,-0.98
KAHARA,34.58,-0.7
KAHAARO,36.92,-0.75
KAHARO,37.05,-0.8
KAHAROSUBLOCATION,37.05,-0.8
KAHAWA,36.92,-1.18
KAAWAROAD,36.9,-1.18
KAHER,34.52,-0.13
KAHI,36.98,2.77
KAHITHE,36.98,-0.73
KAHNESTATE,36.9,-1.27
KAHOTERA,37.02,-0.75
KAHUHIA,37.05,-0.72
KAHUHO,36.68,-1.22
KAHUNIRA,36.77,-1.05
KAHUROSUBLOCATION,36.98,-0.77
KAHUTI,36.97,-0.7
KAHUTI,36.95,-0.7
KAHUTISUBLOCATION,36.95,-0.7
KAIAMAMUK,36.22,1.05
KAIBOWARESUBLOCATION,35.92,0.68
KAIHUNGU,37.1,-0.75
KAILASUBLOCATION,34.57,-0.08
KAIMADERA,39.93,-0.62
KAIMBA,36.68,-1.2
KAIMBAGA,36.38,-0.43
KAINAMUCOFFEEFACTORY,37.4,-0.43
KAIRICHISUBLOCATION,36.95,-0.73
KAIRIMWIHOTI,36.03,-0.43
KAIROSUBLOCATION,36.88,-0.62
KAIRORI,37.47,-0.43
KAISHUA,36.28,3.35
KAISIGAT,35.77,1.23
KAISINGOR,35.85,0.48
KAISUTDESERT,37.78,1.88
KAITET,35.13,-0.77
KAITETRANCH,35.1,-0.77
KAITHANGO,38.65,-0.45
KAITHERI,37.28,-0.52
KAITHIMERIGA,35.87,1.07
KAITUI,35.02,-0.28
KAJAI,34.28,0.62
KAJIAL,34.73,-0.37
KAJIAMPAU,37.85,-0.3
KAJIEISUBLOCATION,34.73,-0.38
KAJIMBO,34.95,-0.37
KAJIMBOSUBLOCATION,34.92,-0.4
KAJINGA,36.68,-1.2
KAJULU,34.55,-0.12
KAJULUSUBLOCATION,34.42,-0.95
KAJWANGKONYANGOSUBLOCATION,34.45,-0.07
KAJWANGSUBLOCATION,34.4,-0.65
KAKAMERI,34.38,0.75
KAKAMERI,34.37,0.75
KAKARUANZA,38.02,-0.23
KAKDHIM,34.05,-0.42
KAKDHIMUSUBLOCATION,34.05,-0.42
KAKELORINGA,34.82,-0.47
KAKELOSUBLOCATION,34.82,-0.47
KAKIIMBA,34.05,-0.45
KAKIONESUBLOCATION,34.55,-1.03
KAKOLASUBLOCATION,34.88,-0.25
KAKOLET,34.28,0.05
KAKOMANI,39.63,-3.85
KAKON,36.28,0.8
KAKRAO,34.48,-1.02
KAKRAO,34.48,-1.03
KAKRAOSUBLOCATION,34.42,-0.98
KAKREMBASUBLOCATION,34.57,-1.03
KAKRIGU,34.18,-0.42
KAKSINGIRIBAY,34.13,-0.53
KAKSINGIRILOCATION,34.02,-0.58
KAKULUO,34.32,0.7
DIKA,37.78,2.32
KAKUNGU,38.73,-0.07
KAKUYUNI,39.98,-3.22
KAKUYUNISUBLOCATION,39.98,-3.22
KAKUYUSUBLOCATION,38.98,-0.62
KAKYA,39.03,-1.6
KALABATA,36.25,0.73
KALABURKUKU,39.25,3.03
KALACHADIDA,37.38,3.12
KALACHAGODA,37.42,3.12
KALAIT,34.32,0.73
KALALIO,41.62,3.95
KALAMA,37.4,2.53
KALAMA,37.35,2.57
KALANDINI,34.37,-0.02
KALANGACHINI,38.15,-0.1
KALANGACHINI,38.13,-0.12
KALANTANPLAIN,39.03,3.18
KALIBUKU,39.05,-1.57
KALIMANGILU,38.78,-0.03
KALIWA,34.23,0.53
KALIWA,34.25,0.55
KALIWA,34.2,0.6
KALKACHA,37.35,4.07
KALKACHLOBOGUVO,40.92,2.65
KALKACHLONDAYE,39.12,2.87
KALKALCHA,39.23,3.22
KALO KUBI,38.03,2.22
KALOKA,34.57,-0.15
KALOLENI,39.63,-3.82
KALOLENI,36.85,-1.3
KALOLENILOCATION,39.58,-3.75
KALOLENISUBLOCATION,39.63,-3.8
KALOSIA,35.8,1.07
KALU,39.08,3.35
KALUKUNIDAM,37.05,-1.22
KALUMANI,39.48,-3.77
KALUMEDAM,39.57,-3.68
KALUMI,36.62,3.78
KALUOCHSUBLOCATION,34.15,-0.08
KAMADA,40.35,-1.77
KAMAE,36.63,-0.85
KAMAE,36.63,-0.98
KAMAENDE,37.85,-0.37
KAMAGAGASUBLOCATION,34.95,-0.13
KAMAGALIEU,38.02,-0.05
KAMAGAMBOLOCATION,34.58,-0.72
KAMAGOGO,37.62,-0.32
KAMAGUTA,37.07,-0.78
KAMAHIA,36.72,-1.03
KAMAHINDU,36.7,-1.05
KAMAHUHALOCATION,37.18,-0.82
KAMAENDESUBLOCATION,37.85,-0.37
KAMAKARARINI,38.22,-0.07
KAMAKOSO,35.23,-0.7
KAMAMA,37.47,-0.43
KAMANDO,36.77,-1.1
KAMANDURA,36.63,-1.13
KAMANYORE,37.93,-0.1
KAMARABUYON,36.18,0.48
KAMARAFARM,35.68,-0.1
KAMARUNGU,37.7,-0.42
KAMASENGERE,34.13,-0.42
KAMASENGERESUBLOCATION,34.13,-0.42
KAMATHARE,36.82,-1.1
KAMATHIAKA,37.47,-0.37
KAMATHURI,37.23,-0.57
KAMATUNGU,38.02,-0.18
KAMB,37.02,-0.73
KAMBAA,36.65,-0.98
KAMBAA,36.72,-1.07
KAMBALA,35.75,-0.25
KAMBARARE,37.4,-0.42
KAMBARE,34.47,-0.03
KAMBARE,39.08,3.25
KAMBERUA,37.2,-0.73
KAMBERUASUBLOCATION,37.2,-0.75
KAMBITIESTATE,37.23,-0.82
KAMBOGO,38.02,-0.03
KAMBOGO,37.55,-0.37
KAMBUJI,34.4,-0.87
KAMBURU,36.73,-1.03
KAMBURUSUBLOCATION,36.75,-1.02
KAMDARIISUBLOCATION,34.3,-0.08
KAMDARISUBLOCATION,34.3,-0.73
KAMEICHIRI,37.3,-0.65
KAMEJII,34.62,-0.07
KAMEJII,34.63,-0.07
KAMENI,37.03,-0.77
KAMGUNDHO,34.62,-0.95
KAMGWAGI,34.03,-0.65
KAMIOGEI,36.12,0.02
KAMIRAI,35.43,-0.85
KAMIRARU,37.32,-0.42
KAMIRITHU,36.63,-1.12
KAMIRITHU,36.62,-1.1
KAMIRITHUSUBLOCATION,36.63,-1.12
KAMITIFOREST,36.88,-1.13
KAMITIFORESTROAD,36.88,-1.15
KAMITIROAD,36.9,-1.22
KAMIU,37.45,-0.55
KAMANARAISLAND,34.47,-0.22
KAMNAROK LAKE,35.62,0.63
KAMNGETUN,35.87,0.38
KAMNGETUN,35.88,0.38
KAMNWAKEYOOGOROSUBLOCATION,34.95,-0.38
KAMOGOSO,35.23,-0.7
KAMOKOSO,35.23,-0.73
KAMOLO,34.52,-0.87
KAMONDO,36.73,-1.1
